image,sig,flor,iqa,dino,blip2,blip_cap,blip2_cap,imr,sig_norm,flor_norm,iqa_norm,dino_norm,blip2_norm,blip_cap_norm,blip2_cap_norm,imr_norm,total
999.png,0.189971923828125,-0.37037037037037035,0.9151743650436401,46.625,0.9928569793701172,0.8408171534538269,0.8458868265151978,2.0704887360334396,-0.5758648550660705,0.3953943920371091,0.8370201842902768,-0.25981070510101434,1.1439373713093395,0.34292357158917,1.34137017760525,1.0887467314529988,0.5322479665219099
777.png,0.2073974609375,-0.38271604938271603,0.7993044853210449,46.8125,0.944366455078125,0.8383049964904785,0.8458868265151978,2.113563820719719,1.228848823543845,0.09124485970087248,-0.5259249242845264,0.16150395181954427,-1.0853146118650818,-0.295471464244403,1.34137017760525,1.343851582353995,0.45034427200899685
666.png,0.20941162109375,-0.38271604938271603,0.6665230393409729,46.15625,0.9900474548339844,0.8358296155929565,0.8462594151496887,1.8622408211231232,1.437449704083695,0.09124485970087248,-2.0877960744168917,-1.3130973474024108,1.0147752672611972,-0.9245208826648905,1.49081454446388,-0.1445660680587218,0.24185706394418638
222.png,0.2017822265625,-0.37037037037037035,0.8476848006248474,47.0625,0.9897708892822266,0.8425975441932678,0.8399204611778259,1.6283353492617607,0.6472948535539598,0.3953943920371091,0.043159243684672964,0.7232568277136223,1.002060735633919,0.7953605118304404,-1.0517239958361213,-1.5298313776618573,0.11160172721671575
111.png,0.182373046875,-0.3333333333333333,0.9122797846794128,46.53125,0.9515457153320312,0.846371591091156,0.8400700092315674,1.935107797384262,-1.362859086193687,1.3078429890458187,0.8029720420272023,-0.4704680335612936,-0.7552629081059455,1.754429885188216,-0.99174064654028,0.28697618542929787,0.03894241920917612
1010.png,0.196502685546875,-0.37037037037037035,0.8714753985404968,47.25,0.9461517333984375,0.8410841226577759,0.8417236804962158,1.8479866683483124,0.10050769698738292,0.3953943920371091,0.3230014178272011,1.144571484634181,-1.0032401180503763,0.410766392323708,-0.3284572496236535,-0.228983859569098,0.014838886628296563
555.png,0.181671142578125,-0.37037037037037035,0.8347155451774597,46.78125,0.9880890846252441,0.8358296155929565,0.8413648009300232,2.152296483516693,-1.4355533324424226,0.3953943920371091,-0.10939449432034885,0.0912848423327845,0.9247432303763158,-0.9245208826648905,-0.47240294356955204,1.5732391793786853,0.004064422068407877
333.png,0.18695068359375,-0.35802469135802467,0.9180132746696472,46.21875,0.9857463836669922,0.8358296155929565,0.8399204611778259,1.7892475724220276,-0.8887661758758457,0.6995439243733457,0.8704134871720589,-1.1726591284288912,0.8170423788507688,-0.9245208826648905,-1.0517239958361213,-0.5768561485609577,-0.2487690693951912
888.png,0.194366455078125,-0.45679012345679015,0.9438728094100952,47.625,0.9377288818359375,0.8440795540809631,0.8408157229423523,1.7633661776781082,-0.12073566116094299,-1.7336523343165484,1.1745919886850869,1.9872007984752982,-1.390463370919756,1.1719722320232409,-0.6926367473612174,-0.7301342998482714,-0.40693828344381955
444.png,0.20489501953125,-0.46913580246913583,0.7311129570007324,46.34375,0.9534378051757812,0.8339332938194275,0.8435775637626648,1.7038781642913818,0.9696780325700918,-2.037801866652785,-1.3280428706647371,-0.8917826904818522,-0.6682779744903602,-1.4064184807156443,0.41513067909238727,-1.0824419249160682,-0.7381894047586836
